78.0,3,40,60	48.0,3,40,60	62.0,3,40,60	46.0,3,40,60	60.0,3,40,60	64.0,3,40,60	74.0,3,40,60	82.0,3,40,60	77.0,3,40,60	102.0,3,39,60	115.0,3,39,60	132.0,3,39,60	146.0,3,39,60	166.0,3,39,59	180.0,3,39,59	214.0,3,38,59	196.0,3,39,59	212.0,3,38,59	200.0,3,38,59	163.0,3,39,59	125.0,3,39,60	162.0,3,39,59	110.0,3,39,60	198.0,3,39,59	192.0,3,39,59	181.0,3,39,59	154.0,3,39,59	173.0,3,39,59	68.0,3,40,60	158.0,3,39,59	167.0,3,39,59	145.0,3,39,60	118.0,3,39,60	148.0,3,39,60	143.0,3,39,60	126.0,3,39,60	130.0,3,39,60	178.0,3,39,59	205.0,3,38,59	203.0,3,38,59	168.0,3,39,59	132.0,3,39,60	147.0,3,39,60	167.0,3,39,59	112.0,3,39,60	66.0,3,40,60	16.0,3,40,60	47.0,3,40,60	12.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
65.0,3,40,60	48.0,3,40,60	75.0,3,40,60	48.0,3,40,60	44.0,3,40,60	61.0,3,40,60	68.0,3,40,60	85.0,3,40,60	50.0,3,40,60	57.0,3,40,60	86.0,3,40,60	127.0,3,39,60	121.0,3,39,60	168.0,3,39,59	200.0,3,38,59	205.0,3,38,59	211.0,3,38,59	165.0,3,39,59	211.0,3,38,59	169.0,3,39,59	216.0,3,38,59	165.0,3,39,59	124.0,3,39,60	191.0,3,39,59	188.0,3,39,59	180.0,3,39,59	113.0,3,39,60	164.0,3,39,59	112.0,3,39,60	168.0,3,39,59	169.0,3,39,59	64.0,3,40,60	70.0,3,40,60	47.0,3,40,60	145.0,3,39,60	169.0,3,39,59	160.0,3,39,59	176.0,3,39,59	195.0,3,39,59	98.0,3,40,60	123.0,3,39,60	116.0,3,39,60	109.0,3,39,60	160.0,3,39,59	119.0,3,39,60	62.0,3,40,60	13.0,3,40,60	8.0,3,40,60	38.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
64.0,3,40,60	61.0,3,40,60	77.0,3,40,60	49.0,3,40,60	46.0,3,40,60	73.0,3,40,60	68.0,3,40,60	65.0,3,40,60	77.0,3,40,60	72.0,3,40,60	78.0,3,40,60	88.0,3,40,60	132.0,3,39,60	172.0,3,39,59	188.0,3,39,59	202.0,3,38,59	210.0,3,38,59	215.0,3,38,59	198.0,3,39,59	178.0,3,39,59	125.0,3,39,60	168.0,3,39,59	96.0,3,40,60	173.0,3,39,59	181.0,3,39,59	179.0,3,39,59	184.0,3,39,59	163.0,3,39,59	134.0,3,39,60	142.0,3,39,60	170.0,3,39,59	161.0,3,39,59	113.0,3,39,60	110.0,3,39,60	105.0,3,39,60	175.0,3,39,59	186.0,3,39,59	207.0,3,38,59	118.0,3,39,60	100.0,3,39,60	41.0,3,40,60	97.0,3,40,60	49.0,3,40,60	90.0,3,40,60	118.0,3,39,60	70.0,3,40,60	36.0,3,40,60	4.0,3,40,60	24.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
71.0,3,40,60	57.0,3,40,60	76.0,3,40,60	63.0,3,40,60	44.0,3,40,60	55.0,3,40,60	71.0,3,40,60	72.0,3,40,60	93.0,3,40,60	95.0,3,40,60	73.0,3,40,60	87.0,3,40,60	129.0,3,39,60	171.0,3,39,59	186.0,3,39,59	171.0,3,39,59	154.0,3,39,59	140.0,3,39,60	185.0,3,39,59	187.0,3,39,59	157.0,3,39,59	178.0,3,39,59	149.0,3,39,60	174.0,3,39,59	190.0,3,39,59	191.0,3,39,59	178.0,3,39,59	200.0,3,38,59	177.0,3,39,59	124.0,3,39,60	99.0,3,40,60	163.0,3,39,59	153.0,3,39,59	146.0,3,39,60	179.0,3,39,59	178.0,3,39,59	146.0,3,39,60	134.0,3,39,60	99.0,3,40,60	71.0,3,40,60	126.0,3,39,60	123.0,3,39,60	48.0,3,40,60	123.0,3,39,60	14.0,3,40,60	0.0,3,40,60	33.0,3,40,60	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
57.0,3,40,60	61.0,3,40,60	76.0,3,40,60	55.0,3,40,60	54.0,3,40,60	61.0,3,40,60	63.0,3,40,60	70.0,3,40,60	90.0,3,40,60	94.0,3,40,60	92.0,3,40,60	86.0,3,40,60	108.0,3,39,60	119.0,3,39,60	180.0,3,39,59	164.0,3,39,59	170.0,3,39,59	167.0,3,39,59	154.0,3,39,59	160.0,3,39,59	166.0,3,39,59	181.0,3,39,59	179.0,3,39,59	153.0,3,39,59	170.0,3,39,59	202.0,3,38,59	205.0,3,38,59	185.0,3,39,59	165.0,3,39,59	157.0,3,39,59	142.0,3,39,60	145.0,3,39,60	169.0,3,39,59	132.0,3,39,60	62.0,3,40,60	76.0,3,40,60	170.0,3,39,59	186.0,3,39,59	158.0,3,39,59	92.0,3,40,60	72.0,3,40,60	33.0,3,40,60	43.0,3,40,60	3.0,3,40,60	0.0,3,40,60	34.0,3,40,60	0.0,3,40,60	10.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
63.0,3,40,60	75.0,3,40,60	80.0,3,40,60	60.0,3,40,60	60.0,3,40,60	82.0,3,40,60	90.0,3,40,60	86.0,3,40,60	104.0,3,39,60	106.0,3,39,60	87.0,3,40,60	113.0,3,39,60	116.0,3,39,60	146.0,3,39,60	171.0,3,39,59	167.0,3,39,59	167.0,3,39,59	172.0,3,39,59	146.0,3,39,60	172.0,3,39,59	140.0,3,39,60	161.0,3,39,59	166.0,3,39,59	167.0,3,39,59	170.0,3,39,59	186.0,3,39,59	193.0,3,39,59	171.0,3,39,59	182.0,3,39,59	165.0,3,39,59	164.0,3,39,59	159.0,3,39,59	149.0,3,39,60	152.0,3,39,59	37.0,3,40,60	105.0,3,39,60	165.0,3,39,59	177.0,3,39,59	163.0,3,39,59	72.0,3,40,60	96.0,3,40,60	30.0,3,40,60	138.0,3,39,60	112.0,3,39,60	13.0,3,40,60	80.0,3,40,60	106.0,3,39,60	8.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
56.0,3,40,60	72.0,3,40,60	88.0,3,40,60	77.0,3,40,60	80.0,3,40,60	75.0,3,40,60	90.0,3,40,60	90.0,3,40,60	103.0,3,39,60	100.0,3,39,60	116.0,3,39,60	120.0,3,39,60	133.0,3,39,60	134.0,3,39,60	137.0,3,39,60	143.0,3,39,60	186.0,3,39,59	157.0,3,39,59	159.0,3,39,59	171.0,3,39,59	182.0,3,39,59	161.0,3,39,59	163.0,3,39,59	147.0,3,39,60	141.0,3,39,60	124.0,3,39,60	115.0,3,39,60	164.0,3,39,59	166.0,3,39,59	161.0,3,39,59	168.0,3,39,59	154.0,3,39,59	117.0,3,39,60	87.0,3,40,60	119.0,3,39,60	96.0,3,40,60	157.0,3,39,59	152.0,3,39,59	173.0,3,39,59	79.0,3,40,60	97.0,3,40,60	88.0,3,40,60	113.0,3,39,60	52.0,3,40,60	19.0,3,40,60	17.0,3,40,60	55.0,3,40,60	28.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
43.0,3,40,60	57.0,3,40,60	62.0,3,40,60	66.0,3,40,60	92.0,3,40,60	69.0,3,40,60	80.0,3,40,60	76.0,3,40,60	91.0,3,40,60	84.0,3,40,60	99.0,3,40,60	105.0,3,39,60	128.0,3,39,60	118.0,3,39,60	105.0,3,39,60	118.0,3,39,60	130.0,3,39,60	149.0,3,39,60	175.0,3,39,59	150.0,3,39,59	131.0,3,39,60	151.0,3,39,59	107.0,3,39,60	99.0,3,40,60	105.0,3,39,60	118.0,3,39,60	115.0,3,39,60	124.0,3,39,60	132.0,3,39,60	135.0,3,39,60	141.0,3,39,60	126.0,3,39,60	89.0,3,40,60	110.0,3,39,60	22.0,3,40,60	113.0,3,39,60	164.0,3,39,59	138.0,3,39,60	160.0,3,39,59	99.0,3,40,60	104.0,3,39,60	94.0,3,40,60	163.0,3,39,59	77.0,3,40,60	56.0,3,40,60	24.0,3,40,60	10.0,3,40,60	6.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
35.0,3,40,60	47.0,3,40,60	48.0,3,40,60	79.0,3,40,60	83.0,3,40,60	47.0,3,40,60	57.0,3,40,60	83.0,3,40,60	64.0,3,40,60	79.0,3,40,60	83.0,3,40,60	112.0,3,39,60	114.0,3,39,60	91.0,3,40,60	117.0,3,39,60	95.0,3,40,60	105.0,3,39,60	130.0,3,39,60	131.0,3,39,60	127.0,3,39,60	121.0,3,39,60	116.0,3,39,60	66.0,3,40,60	69.0,3,40,60	77.0,3,40,60	108.0,3,39,60	62.0,3,40,60	94.0,3,40,60	107.0,3,39,60	104.0,3,39,60	128.0,3,39,60	103.0,3,39,60	87.0,3,40,60	106.0,3,39,60	84.0,3,40,60	29.0,3,40,60	31.0,3,40,60	95.0,3,40,60	136.0,3,39,60	155.0,3,39,59	159.0,3,39,59	160.0,3,39,59	132.0,3,39,60	135.0,3,39,60	89.0,3,40,60	36.0,3,40,60	15.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
47.0,3,40,60	52.0,3,40,60	69.0,3,40,60	60.0,3,40,60	63.0,3,40,60	52.0,3,40,60	86.0,3,40,60	74.0,3,40,60	67.0,3,40,60	77.0,3,40,60	88.0,3,40,60	105.0,3,39,60	88.0,3,40,60	66.0,3,40,60	92.0,3,40,60	119.0,3,39,60	95.0,3,40,60	108.0,3,39,60	133.0,3,39,60	116.0,3,39,60	94.0,3,40,60	92.0,3,40,60	105.0,3,39,60	84.0,3,40,60	71.0,3,40,60	34.0,3,40,60	44.0,3,40,60	91.0,3,40,60	83.0,3,40,60	80.0,3,40,60	129.0,3,39,60	116.0,3,39,60	110.0,3,39,60	95.0,3,40,60	44.0,3,40,60	11.0,3,40,60	102.0,3,39,60	128.0,3,39,60	111.0,3,39,60	133.0,3,39,60	105.0,3,39,60	123.0,3,39,60	69.0,3,40,60	23.0,3,40,60	27.0,3,40,60	38.0,3,40,60	24.0,3,40,60	51.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
56.0,3,40,60	64.0,3,40,60	50.0,3,40,60	71.0,3,40,60	56.0,3,40,60	43.0,3,40,60	34.0,3,40,60	44.0,3,40,60	60.0,3,40,60	78.0,3,40,60	93.0,3,40,60	81.0,3,40,60	90.0,3,40,60	62.0,3,40,60	106.0,3,39,60	103.0,3,39,60	119.0,3,39,60	108.0,3,39,60	118.0,3,39,60	105.0,3,39,60	105.0,3,39,60	91.0,3,40,60	88.0,3,40,60	72.0,3,40,60	87.0,3,40,60	73.0,3,40,60	53.0,3,40,60	49.0,3,40,60	67.0,3,40,60	39.0,3,40,60	106.0,3,39,60	119.0,3,39,60	106.0,3,39,60	98.0,3,40,60	86.0,3,40,60	73.0,3,40,60	23.0,3,40,60	100.0,3,39,60	57.0,3,40,60	75.0,3,40,60	71.0,3,40,60	111.0,3,39,60	91.0,3,40,60	37.0,3,40,60	18.0,3,40,60	15.0,3,40,60	19.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
65.0,3,40,60	63.0,3,40,60	65.0,3,40,60	55.0,3,40,60	50.0,3,40,60	41.0,3,40,60	28.0,3,40,60	35.0,3,40,60	60.0,3,40,60	60.0,3,40,60	66.0,3,40,60	54.0,3,40,60	69.0,3,40,60	66.0,3,40,60	78.0,3,40,60	73.0,3,40,60	91.0,3,40,60	92.0,3,40,60	124.0,3,39,60	125.0,3,39,60	108.0,3,39,60	103.0,3,39,60	85.0,3,40,60	61.0,3,40,60	94.0,3,40,60	76.0,3,40,60	55.0,3,40,60	50.0,3,40,60	55.0,3,40,60	55.0,3,40,60	68.0,3,40,60	76.0,3,40,60	93.0,3,40,60	99.0,3,40,60	82.0,3,40,60	97.0,3,40,60	56.0,3,40,60	45.0,3,40,60	96.0,3,40,60	5.0,3,40,60	122.0,3,39,60	53.0,3,40,60	50.0,3,40,60	15.0,3,40,60	3.0,3,40,60	35.0,3,40,60	23.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
75.0,3,40,60	67.0,3,40,60	53.0,3,40,60	51.0,3,40,60	57.0,3,40,60	60.0,3,40,60	32.0,3,40,60	34.0,3,40,60	38.0,3,40,60	33.0,3,40,60	27.0,3,40,60	49.0,3,40,60	26.0,3,40,60	53.0,3,40,60	79.0,3,40,60	84.0,3,40,60	97.0,3,40,60	88.0,3,40,60	78.0,3,40,60	101.0,3,39,60	81.0,3,40,60	86.0,3,40,60	76.0,3,40,60	82.0,3,40,60	78.0,3,40,60	62.0,3,40,60	65.0,3,40,60	70.0,3,40,60	43.0,3,40,60	33.0,3,40,60	25.0,3,40,60	61.0,3,40,60	86.0,3,40,60	109.0,3,39,60	100.0,3,39,60	71.0,3,40,60	45.0,3,40,60	72.0,3,40,60	34.0,3,40,60	19.0,3,40,60	78.0,3,40,60	73.0,3,40,60	65.0,3,40,60	39.0,3,40,60	18.0,3,40,60	4.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
